SurveyDate,Zone,Bird,Count
,III Boulders,Western Gull,1
,III Rocky Outcrop,Brown Pelican,7
,III Rocky Outcrop,Brown Pelican,70
,III Rocky Outcrop,Cormorant,1
,III Rocky Outcrop,Tern,2
,III Rocky Outcrop,Unidentified Gull,40
,III Rocky Outcrop,Unidentified Gull,112
12/3/1991,I,Black-Bellied Plover,3
12/3/1991,I,Snowy Egret,4
12/3/1991,I,Western Gull,3
12/3/1991,II,Black-Bellied Plover,3
12/3/1991,II,Western Gull,8
12/3/1991,III,Black-Bellied Plover,5
12/3/1991,III,Great Blue Heron,1
12/3/1991,III,Snowy Egret,1
12/3/1991,III,Unidentified Gull,345
12/6/1991,I,Black Turnstone,2
12/6/1991,I,Great Blue Heron,1
12/6/1991,I,Marbled Godwit,3
12/6/1991,I,Snowy Egret,3
12/6/1991,I,Unidentified Gull,27
12/6/1991,I,Wandering Tattler,2
12/6/1991,I,Willet,1
12/6/1991,II,Black Turnstone,8
12/6/1991,II,Marbled Godwit,2
12/6/1991,II,Snowy Egret,2
12/6/1991,II,Unidentified Gull,23
12/6/1991,II,Wandering Tattler,3
12/6/1991,II,Willet,2
10/24/1992,I,Black-Bellied Plover,2
10/24/1992,I,Western Gull,6
10/24/1992,II,Black-Bellied Plover,1
10/24/1992,II,Great Egret,1
10/24/1992,II,Western Gull,5
10/24/1992,III,Black Turnstone,1
10/24/1992,III,California Gull,16
10/24/1992,III,Marbled Godwit,7
10/24/1992,III,Ruddy Turnstone,1
10/24/1992,III,Snowy Egret,4
10/24/1992,III,Willet,1
10/27/1992,I,Black Turnstone,1
10/27/1992,I,Western Gull,6
10/27/1992,II,Black Turnstone,4
10/27/1992,II,Great Blue Heron,1
10/27/1992,II,Marbled Godwit,3
10/27/1992,II,Snowy Egret,3
10/27/1992,II,Wandering Tattler,2
10/27/1992,II,Western Gull,13
10/27/1992,II,Willet,1
10/27/1992,III,Black Turnstone,1
10/27/1992,III,Cormorant,5
10/27/1992,III,Great Blue Heron,1
10/27/1992,III,Great Egret,2
10/27/1992,III,Snowy Egret,5
10/27/1992,III,Wandering Tattler,1
10/27/1992,III,Western Gull,15
11/24/1992,I,California Gull,2
11/24/1992,I,Ring-Billed Gull,1
11/24/1992,I,Snowy Egret,5
11/24/1992,I,Unidentified Gull,3
11/24/1992,I,Wandering Tattler,1
11/24/1992,II,Black Turnstone,1
11/24/1992,II,Black-Bellied Plover,2
11/24/1992,II,California Gull,1
11/24/1992,II,Great Blue Heron,1
11/24/1992,II,Marbled Godwit,2
11/24/1992,II,Ruddy Turnstone,17
11/24/1992,II,Snowy Egret,3
11/24/1992,II,Spotted Sandpiper,3
11/24/1992,II,Western Gull,1
11/24/1992,II,Whimbrel,1
11/24/1992,II,Willet,1
11/24/1992,III,Black-Bellied Plover,1
11/24/1992,III,Great Blue Heron,1
11/24/1992,III,Great Egret,2
11/24/1992,III,Marbled Godwit,4
11/24/1992,III,Ring-Billed Gull,2
11/24/1992,III,Ruddy Turnstone,3
11/24/1992,III,Snowy Egret,5
11/24/1992,III,Spotted Sandpiper,2
11/24/1992,III,Western Gull,1
11/24/1992,III,Willet,3
11/25/1992,I,Snowy Egret,3
11/25/1992,I,Western Gull,11
11/25/1992,I,Willet,1
11/25/1992,II,Wandering Tattler,1
11/25/1992,II,Western Gull,3
11/25/1992,III,Snowy Egret,2
11/25/1992,III,Western Gull,211
11/26/1992,I,Heerman's Gull,4
11/26/1992,I,Snowy Egret,1
11/26/1992,II,California Gull,2
11/26/1992,II,Snowy Egret,1
11/26/1992,III,California Gull,12
11/26/1992,III,Heerman's Gull,7
11/26/1992,III,Pelican,8
11/26/1992,III,Snowy Egret,7
11/26/1992,III,Wandering Tattler,1
11/26/1992,III,Whimbrel,4
12/8/1992,I,Black-Bellied Plover,1
12/8/1992,I,Snowy Egret,1
12/8/1992,I,Western Gull,2
12/8/1992,II,Marbled Godwit,3
12/8/1992,II,Snowy Egret,2
12/8/1992,II,Wandering Tattler,1
12/8/1992,II,Western Gull,3
12/8/1992,II,Whimbrel,1
12/8/1992,III,Black-Bellied Plover,2
12/8/1992,III,Great Blue Heron,1
12/8/1992,III,Great Egret,1
12/8/1992,III,Snowy Egret,4
12/8/1992,III,Western Gull,111
12/9/1992,I,Cormorant,1
12/9/1992,I,Snowy Egret,2
12/9/1992,I,Western Gull,9
12/9/1992,II,Black Turnstone,2
12/9/1992,II,Snowy Egret,3
12/9/1992,II,Wandering Tattler,1
12/9/1992,II,Western Gull,2
12/9/1992,III,Black-Bellied Plover,1
12/9/1992,III,Cormorant,1
12/9/1992,III,Great Egret,1
12/9/1992,III,Pelican,7
12/9/1992,III,Sanderling,2
12/9/1992,III,Snowy Egret,2
12/9/1992,III,Western Gull,90
12/19/1992,I,Pelican,1
12/19/1992,I,Snowy Egret,1
12/19/1992,I,Western Gull,11
12/19/1992,II,Cormorant,2
12/19/1992,II,Marbled Godwit,6
12/19/1992,II,Pelican,2
12/19/1992,II,Sanderling,2
12/19/1992,II,Snowy Egret,2
12/19/1992,II,Western Gull,5
12/19/1992,II,Whimbrel,1
12/19/1992,II,Willet,2
12/19/1992,III,Black Turnstone,2
12/19/1992,III,Great Blue Heron,1
12/19/1992,III,Marbled Godwit,2
12/19/1992,III,Sanderling,4
12/19/1992,III,Snowy Egret,3
12/19/1992,III,Western Gull,11
12/19/1992,III,Willet,1
12/20/1992,I,Western Gull,1
12/20/1992,II,Black-Bellied Plover,1
12/20/1992,II,Western Gull,2
12/20/1992,III,Black-Bellied Plover,11
12/20/1992,III,Snowy Egret,7
12/20/1992,III,Western Gull,106
12/21/1992,I,California Gull,2
12/21/1992,I,Snowy Egret,1
12/21/1992,I,Wandering Tattler,1
12/21/1992,II,California Gull,2
12/21/1992,II,Snowy Egret,2
12/21/1992,II,Wandering Tattler,2
12/21/1992,III,Heerman's Gull,21
12/21/1992,III,Sanderling,2
12/21/1992,III,Snowy Egret,2
12/21/1992,III,Whimbrel,2
12/21/1992,III,Willet,5
12/22/1992,I,Black-Bellied Plover,2
12/22/1992,I,Western Gull,3
12/22/1992,II,Western Gull,1
12/22/1992,III,Snowy Egret,1
12/22/1992,III,Western Gull,6
12/23/1992,I,Western Gull,3
12/23/1992,II,Black-Bellied Plover,8
12/23/1992,II,Western Gull,12
12/23/1992,III,Black-Bellied Plover,11
12/23/1992,III,Great Blue Heron,1
12/23/1992,III,Great Egret,1
12/23/1992,III,Snowy Egret,7
12/23/1992,III,Western Gull,247
12/24/1992,I,Black-Bellied Plover,1
12/24/1992,I,Western Gull,1
12/24/1992,II,Black-Bellied Plover,5
12/24/1992,II,Cormorant,11
12/24/1992,II,Marbled Godwit,1
12/24/1992,II,Pelican,2
12/24/1992,II,Snowy Egret,5
12/24/1992,II,Western Gull,151
12/24/1992,III,Black Turnstone,2
12/24/1992,III,Black-Bellied Plover,1
12/24/1992,III,Cormorant,2
12/24/1992,III,Pelican,1
12/24/1992,III,Sanderling,1
12/24/1992,III,Snowy Egret,3
12/24/1992,III,Western Gull,416
12/25/1992,I,California Gull,1
12/25/1992,I,Snowy Egret,2
12/25/1992,II,California Gull,2
12/25/1992,II,Heerman's Gull,4
12/25/1992,II,Snowy Egret,4
12/25/1992,II,Whimbrel,1
12/25/1992,III,California Gull,52
12/25/1992,III,Great Blue Heron,1
12/25/1992,III,Sanderling,1
12/25/1992,III,Snowy Egret,5
1/4/1993,I,Black-Bellied Plover,1
1/4/1993,I,Western Gull,2
1/4/1993,II,Black-Bellied Plover,8
1/4/1993,II,Western Gull,4
1/4/1993,III,Black-Bellied Plover,9
1/4/1993,III,Western Gull,83
1/5/1993,I,Black-Bellied Plover,3
1/5/1993,I,Snowy Egret,1
1/5/1993,I,Western Gull,4
1/5/1993,II,Black-Bellied Plover,52
1/5/1993,II,Western Gull,4
1/5/1993,III,Black-Bellied Plover,30
1/5/1993,III,Great Blue Heron,1
1/5/1993,III,Great Egret,1
1/5/1993,III,Western Gull,257
1/8/1993,I,Snowy Egret,1
1/8/1993,I,Western Gull,1
1/8/1993,I,Whimbrel,1
1/8/1993,II,California Gull,7
1/8/1993,II,Great Blue Heron,1
1/8/1993,II,Marbled Godwit,2
1/8/1993,II,Snowy Egret,1
1/8/1993,III,California Gull,30
1/8/1993,III,Marbled Godwit,7
1/8/1993,III,Snowy Egret,1
1/8/1993,III,Wandering Tattler,3
1/9/1993,I,Great Blue Heron,1
1/9/1993,I,Snowy Egret,1
1/9/1993,I,Western Gull,2
1/9/1993,II,Black-Bellied Plover,1
1/9/1993,II,Great Egret,1
1/9/1993,II,Marbled Godwit,6
1/9/1993,II,Western Gull,3
1/9/1993,II,Willet,4
1/9/1993,III,Black Turnstone,1
1/9/1993,III,Snowy Egret,1
1/9/1993,III,Spotted Sandpiper,3
1/9/1993,III,Western Gull,4
1/17/1993,I,California Gull,6
1/17/1993,II,Black Turnstone,7
1/17/1993,II,California Gull,8
1/17/1993,II,Ruddy Turnstone,1
1/17/1993,II,Western Gull,2
1/18/1993,I,Black Turnstone,4
1/18/1993,I,California Gull,2
1/18/1993,II,California Gull,4
1/18/1993,II,Spotted Sandpiper,1
1/18/1993,II,Whimbrel,1
1/18/1993,III,California Gull,1
1/18/1993,III,Whimbrel,1
1/19/1993,I,Western Gull,2
1/19/1993,II,Snowy Egret,4
1/19/1993,II,Western Gull,3
1/19/1993,III,Snowy Egret,4
1/19/1993,III,Western Gull,9
1/20/1993,I,California Gull,2
1/20/1993,I,Sanderling,1
1/20/1993,I,Whimbrel,2
1/20/1993,II,California Gull,4
1/20/1993,II,Snowy Egret,1
1/20/1993,II,Wandering Tattler,2
1/20/1993,II,Willet,1
1/20/1993,III,California Gull,19
1/20/1993,III,Marbled Godwit,3
1/20/1993,III,Snowy Egret,6
1/20/1993,III,Wandering Tattler,2
1/20/1993,III,Whimbrel,1
1/21/1993,I,Pelican,5
1/21/1993,I,Wandering Tattler,1
1/21/1993,II,Ruddy Turnstone,1
1/21/1993,II,Snowy Egret,2
1/21/1993,II,Wandering Tattler,3
1/21/1993,II,Western Gull,8
1/21/1993,II,Whimbrel,1
1/21/1993,III,Black Turnstone,7
1/21/1993,III,Great Blue Heron,1
1/21/1993,III,Marbled Godwit,9
1/21/1993,III,Ruddy Turnstone,3
1/21/1993,III,Snowy Egret,5
1/21/1993,III,Tern,3
1/21/1993,III,Wandering Tattler,11
1/21/1993,III,Western Gull,14
1/21/1993,III,Whimbrel,1
1/21/1993,III,Willet,4
1/22/1993,I,California Gull,2
1/22/1993,I,Snowy Egret,1
1/22/1993,II,California Gull,6
1/22/1993,II,Great Blue Heron,1
1/22/1993,II,Sanderling,14
1/22/1993,II,Snowy Egret,2
1/22/1993,II,Wandering Tattler,5
1/22/1993,III,California Gull,59
1/22/1993,III,Marbled Godwit,5
1/22/1993,III,Pelican,3
1/22/1993,III,Ruddy Turnstone,5
1/22/1993,III,Sanderling,6
1/22/1993,III,Snowy Egret,10
1/22/1993,III,Wandering Tattler,1
1/22/1993,III,Whimbrel,3
1/22/1993,III,Willet,1
1/23/1993,I,Western Gull,2
1/23/1993,II,Black-Bellied Plover,1
1/23/1993,II,Marbled Godwit,3
1/23/1993,II,Snowy Egret,1
1/23/1993,II,Spotted Sandpiper,1
1/23/1993,II,Western Gull,12
1/23/1993,III,Black Turnstone,5
1/23/1993,III,Black-Bellied Plover,1
1/23/1993,III,Marbled Godwit,3
1/23/1993,III,Ruddy Turnstone,2
1/23/1993,III,Wandering Tattler,2
1/23/1993,III,Whimbrel,1
1/23/1993,III,Willet,3
1/24/1993,I,Snowy Egret,1
1/24/1993,I,Western Gull,2
1/24/1993,II,Black-Bellied Plover,13
1/24/1993,II,Snowy Egret,3
1/24/1993,II,Western Gull,12
1/24/1993,III,Black-Bellied Plover,42
1/24/1993,III,Great Blue Heron,1
1/24/1993,III,Great Egret,1
1/24/1993,III,Snowy Egret,6
1/24/1993,III,Western Gull,108
2/1/1993,I,Black-Bellied Plover,1
2/1/1993,I,Spotted Sandpiper,1
2/1/1993,I,Western Gull,1
2/1/1993,I,Willet,1
2/1/1993,II,Black Turnstone,9
2/1/1993,II,Black-Bellied Plover,2
2/1/1993,II,Ruddy Turnstone,6
2/1/1993,II,Sanderling,1
2/1/1993,II,Spotted Sandpiper,3
2/1/1993,II,Wandering Tattler,1
2/1/1993,II,Western Gull,1
2/1/1993,II,Whimbrel,1
2/1/1993,II,Willet,1
2/1/1993,III,Western Gull,1
2/1/1993,III,Whimbrel,1
2/2/1993,I,Black-Bellied Plover,2
2/2/1993,I,Western Gull,2
2/2/1993,II,Black-Bellied Plover,14
2/2/1993,II,Western Gull,4
2/2/1993,III,Black-Bellied Plover,6
2/2/1993,III,Great Blue Heron,1
2/2/1993,III,Western Gull,4
2/3/1993,I,California Gull,1
2/3/1993,I,Snowy Egret,1
2/3/1993,I,Wandering Tattler,1
2/3/1993,I,Western Gull,2
2/3/1993,I,Whimbrel,1
2/3/1993,II,Black-Bellied Plover,1
2/3/1993,II,California Gull,1
2/3/1993,II,Marbled Godwit,8
2/3/1993,II,Sanderling,1
2/3/1993,II,Western Gull,4
2/3/1993,II,Willet,1
2/3/1993,III,Black Turnstone,1
2/3/1993,III,Black-Bellied Plover,1
2/3/1993,III,Snowy Egret,7
2/3/1993,III,Spotted Sandpiper,1
2/3/1993,III,Wandering Tattler,1
2/3/1993,III,Willet,1
2/4/1993,II,California Gull,4
2/4/1993,III,California Gull,75
2/4/1993,III,Great Blue Heron,1
2/4/1993,III,Heerman's Gull,30
2/4/1993,III,Marbled Godwit,4
2/4/1993,III,Wandering Tattler,2
2/4/1993,III,Whimbrel,1
2/4/1993,III,Willet,3
2/5/1993,I,Black Turnstone,1
2/5/1993,I,Wandering Tattler,1
2/5/1993,II,Black-Bellied Plover,1
2/5/1993,II,California Gull,1
2/5/1993,II,Ring-Billed Gull,1
2/5/1993,II,Ruddy Turnstone,3
2/5/1993,II,Sanderling,2
2/5/1993,II,Wandering Tattler,2
2/5/1993,II,Whimbrel,3
2/5/1993,III,Black Turnstone,30
2/5/1993,III,Black-Bellied Plover,1
2/5/1993,III,Great Blue Heron,1
2/5/1993,III,Great Egret,1
2/5/1993,III,Ruddy Turnstone,5
2/5/1993,III,Sanderling,50
2/5/1993,III,Wandering Tattler,2
2/5/1993,III,Western Gull,1
2/5/1993,III,Whimbrel,2
2/6/1993,I,California Gull,3
2/6/1993,II,California Gull,7
2/6/1993,III,California Gull,47
2/6/1993,III,Great Egret,2
2/6/1993,III,Snowy Egret,2
2/7/1993,I,Black Turnstone,5
2/7/1993,I,California Gull,3
2/7/1993,I,Ring-Billed Gull,1
2/7/1993,I,Whimbrel,1
2/7/1993,II,Black Turnstone,6
2/7/1993,II,Black-Bellied Plover,1
2/7/1993,II,California Gull,3
2/7/1993,II,Marbled Godwit,2
2/7/1993,II,Ring-Billed Gull,5
2/7/1993,II,Ruddy Turnstone,2
2/7/1993,II,Sanderling,25
2/7/1993,II,Spotted Sandpiper,1
2/7/1993,II,Wandering Tattler,3
2/7/1993,II,Whimbrel,1
2/7/1993,II,Willet,3
2/7/1993,III,Black Turnstone,5
2/7/1993,III,Black-Bellied Plover,9
2/7/1993,III,Ruddy Turnstone,7
2/7/1993,III,Willet,1
2/8/1993,I,Black Turnstone,6
2/8/1993,I,Spotted Sandpiper,5
2/8/1993,II,California Gull,4
2/8/1993,II,Ruddy Turnstone,5
2/8/1993,II,Wandering Tattler,2
2/8/1993,II,Whimbrel,1
2/8/1993,II,Willet,1
2/8/1993,III,Spotted Sandpiper,1
2/8/1993,III,Western Gull,1
2/9/1993,II,Cormorant,3
2/9/1993,II,Western Gull,3
2/14/1993,II,Black Turnstone,3
2/14/1993,II,California Gull,1
2/14/1993,II,Great Egret,1
2/14/1993,II,Spotted Sandpiper,1
2/14/1993,III,Great Blue Heron,1
2/14/1993,III,Snowy Egret,1
2/14/1993,III,Spotted Sandpiper,2
2/14/1993,III,Western Gull,3
2/14/1993,III,Whimbrel,1
2/14/1993,III,Willet,1
2/15/1993,I,Western Gull,4
2/15/1993,II,Western Gull,12
2/15/1993,III,Black Turnstone,3
2/15/1993,III,Great Blue Heron,1
2/15/1993,III,Marbled Godwit,2
2/15/1993,III,Snowy Egret,3
2/16/1993,I,Western Gull,9
2/16/1993,II,Snowy Egret,4
2/16/1993,II,Spotted Sandpiper,1
2/16/1993,II,Western Gull,7
2/18/1993,I,Black Turnstone,2
2/18/1993,I,California Gull,2
2/18/1993,I,Ruddy Turnstone,1
2/18/1993,I,Sanderling,2
2/18/1993,I,Spotted Sandpiper,1
2/18/1993,I,Wandering Tattler,1
2/18/1993,I,Western Gull,3
2/18/1993,I,Willet,1
2/18/1993,II,Black Turnstone,4
2/18/1993,II,California Gull,8
2/18/1993,II,Ruddy Turnstone,2
2/18/1993,II,Sanderling,20
2/18/1993,II,Willet,1
2/19/1993,I,Black Turnstone,2
2/19/1993,I,California Gull,5
2/19/1993,I,Pelican,2
2/19/1993,I,Snowy Egret,1
2/19/1993,I,Western Gull,12
2/19/1993,II,Black Turnstone,5
2/19/1993,II,Marbled Godwit,1
2/19/1993,II,Snowy Egret,2
2/19/1993,II,Spotted Sandpiper,1
2/19/1993,II,Wandering Tattler,1
2/19/1993,II,Western Gull,16
2/20/1993,I,Snowy Egret,2
2/20/1993,I,Spotted Sandpiper,1
2/20/1993,I,Wandering Tattler,1
2/20/1993,II,California Gull,3
2/20/1993,II,Snowy Egret,5
2/20/1993,II,Wandering Tattler,1
2/20/1993,II,Western Gull,1
2/20/1993,II,Whimbrel,1
2/20/1993,III,Snowy Egret,1
2/20/1993,III,Spotted Sandpiper,1
2/20/1993,III,Willet,2
2/21/1993,I,Western Gull,1
2/21/1993,II,Snowy Egret,5
2/21/1993,II,Western Gull,2
2/21/1993,II,Whimbrel,1
2/21/1993,II,Willet,1
2/21/1993,III,Black Turnstone,6
2/21/1993,III,Great Blue Heron,1
2/21/1993,III,Great Egret,1
2/21/1993,III,Marbled Godwit,3
2/21/1993,III,Snowy Egret,4
2/21/1993,III,Wandering Tattler,2
2/21/1993,III,Western Gull,11
2/21/1993,III,Willet,1
2/22/1993,I,Western Gull,1
2/22/1993,II,Great Blue Heron,2
2/22/1993,II,Marbled Godwit,2
2/22/1993,II,Snowy Egret,1
2/22/1993,II,Western Gull,3
2/22/1993,II,Willet,3
2/22/1993,III,Great Egret,1
2/22/1993,III,Marbled Godwit,9
2/22/1993,III,Snowy Egret,4
2/22/1993,III,Wandering Tattler,2
2/22/1993,III,Western Gull,58
2/22/1993,III,Whimbrel,1
2/22/1993,III,Willet,5
2/23/1993,I,Black Turnstone,2
2/23/1993,I,Ruddy Turnstone,1
2/23/1993,I,Spotted Sandpiper,2
2/23/1993,I,Western Gull,3
2/23/1993,I,Whimbrel,1
2/23/1993,II,Black-Bellied Plover,1
2/23/1993,II,Ruddy Turnstone,3
2/23/1993,II,Willet,1
2/23/1993,III,Black Turnstone,3
2/23/1993,III,Great Blue Heron,1
2/23/1993,III,Snowy Egret,2
2/23/1993,III,Western Gull,1
2/23/1993,III,Willet,1
3/8/1993,I,California Gull,1
3/8/1993,I,Snowy Egret,1
3/8/1993,I,Western Gull,1
3/8/1993,II,Marbled Godwit,3
3/8/1993,II,Sanderling,26
3/8/1993,II,Spotted Sandpiper,1
3/8/1993,II,Western Gull,1
3/8/1993,II,Willet,1
3/8/1993,III,Black Turnstone,6
3/8/1993,III,Black-Bellied Plover,2
3/8/1993,III,California Gull,75
3/8/1993,III,Sanderling,11
3/8/1993,III,Western Gull,4
3/9/1993,I,Snowy Egret,1
3/9/1993,I,Spotted Sandpiper,1
3/9/1993,I,Wandering Tattler,2
3/9/1993,II,Snowy Egret,1
3/9/1993,II,Spotted Sandpiper,1
3/9/1993,II,Wandering Tattler,1
3/9/1993,II,Western Gull,1
3/9/1993,III,Black Turnstone,2
3/9/1993,III,Sanderling,2
3/9/1993,III,Spotted Sandpiper,18
3/18/1993,II,Black Turnstone,1
3/18/1993,II,California Gull,2
3/18/1993,II,Sanderling,3
3/18/1993,II,Whimbrel,1
3/18/1993,III,Black Turnstone,2
3/18/1993,III,California Gull,5
3/18/1993,III,Marbled Godwit,1
3/18/1993,III,Sanderling,22
3/18/1993,III,Whimbrel,2
3/19/1993,I,California Gull,1
3/19/1993,III,Black Turnstone,1
3/19/1993,III,California Gull,2
3/19/1993,III,Spotted Sandpiper,1
3/19/1993,III,Wandering Tattler,4
3/19/1993,III,Western Gull,1
3/19/1993,III,Whimbrel,1
3/22/1993,II,Black Turnstone,2
3/22/1993,II,Black-Bellied Plover,1
3/22/1993,II,Ruddy Turnstone,1
3/22/1993,II,Sanderling,1
3/22/1993,II,Spotted Sandpiper,3
3/22/1993,II,Wandering Tattler,1
3/22/1993,II,Western Gull,1
3/22/1993,II,Whimbrel,1
3/22/1993,III,Black Turnstone,2
3/22/1993,III,Ruddy Turnstone,4
3/22/1993,III,Sanderling,3
3/22/1993,III,Snowy Egret,1
3/22/1993,III,Spotted Sandpiper,2
4/3/1993,I,Black Turnstone,8
4/3/1993,I,California Gull,1
4/3/1993,II,Western Gull,1
4/3/1993,III,Black Turnstone,4
4/3/1993,III,Great Blue Heron,2
4/3/1993,III,Spotted Sandpiper,14
4/3/1993,III,Western Gull,3
4/4/1993,II,Black Turnstone,5
4/4/1993,II,Great Blue Heron,1
4/4/1993,II,Sanderling,1
4/4/1993,II,Spotted Sandpiper,2
4/4/1993,II,Western Gull,4
4/4/1993,III,Black Turnstone,6
4/4/1993,III,Black-Bellied Plover,1
4/4/1993,III,Ruddy Turnstone,2
4/4/1993,III,Sanderling,3
4/4/1993,III,Spotted Sandpiper,1
4/4/1993,III,Western Gull,1
4/4/1993,III,Whimbrel,1
4/4/1993,III,Willet,2
4/5/1993,II,Spotted Sandpiper,1
4/5/1993,II,Wandering Tattler,1
4/5/1993,III,Black Turnstone,3
4/5/1993,III,Spotted Sandpiper,2
4/5/1993,III,Whimbrel,1
4/5/1993,III,Willet,1
9/15/1993,II,Pelican,1
9/15/1993,II,Ruddy Turnstone,3
9/15/1993,II,Wandering Tattler,2
9/15/1993,II,Western Gull,40
9/15/1993,III,Great Blue Heron,1
9/15/1993,III,Pelican,3
9/15/1993,III,Ruddy Turnstone,1
9/15/1993,III,Sanderling,2
9/15/1993,III,Wandering Tattler,3
9/15/1993,III,Western Gull,31
9/15/1993,III,Willet,1
9/16/1993,I,Spotted Sandpiper,1
9/16/1993,I,Western Gull,5
9/16/1993,II,Black Turnstone,4
9/16/1993,II,Black-Bellied Plover,2
9/16/1993,II,Ruddy Turnstone,5
9/16/1993,II,Wandering Tattler,2
9/16/1993,II,Western Gull,19
9/16/1993,II,Whimbrel,1
9/16/1993,III,Spotted Sandpiper,2
9/16/1993,III,Wandering Tattler,1
9/16/1993,III,Western Gull,5
9/17/1993,I,California Gull,3
9/17/1993,I,Spotted Sandpiper,1
9/17/1993,II,Ruddy Turnstone,1
9/17/1993,II,Sanderling,1
9/17/1993,II,Wandering Tattler,1
9/17/1993,II,Western Gull,18
9/17/1993,III,Great Blue Heron,1
9/17/1993,III,Ruddy Turnstone,2
9/17/1993,III,Wandering Tattler,1
9/17/1993,III,Western Gull,37
9/18/1993,II,Western Gull,24
9/29/1993,I,Western Gull,2
9/29/1993,I,Whimbrel,1
9/29/1993,II,Ruddy Turnstone,1
9/29/1993,II,Sanderling,2
9/29/1993,II,Unidentified Bird (non-gull),2
9/29/1993,II,Wandering Tattler,1
9/30/1993,I,Black-Bellied Plover,2
9/30/1993,I,Great Blue Heron,1
9/30/1993,I,Spotted Sandpiper,1
9/30/1993,I,Western Gull,1
9/30/1993,I,Willet,2
9/30/1993,II,Black-Bellied Plover,2
9/30/1993,II,Ruddy Turnstone,5
9/30/1993,II,Wandering Tattler,1
9/30/1993,II,Western Gull,4
9/30/1993,III,Great Blue Heron,1
9/30/1993,III,Mew Gull,2
9/30/1993,III,Spotted Sandpiper,2
9/30/1993,III,Wandering Tattler,1
9/30/1993,III,Western Gull,10
10/12/1993,I,Ruddy Turnstone,2
10/12/1993,I,Unidentified Bird (non-gull),1
10/12/1993,I,Wandering Tattler,2
10/12/1993,II,Ruddy Turnstone,2
10/13/1993,I,Black Turnstone,1
10/13/1993,II,Black Turnstone,7
10/13/1993,II,Black-Bellied Plover,1
10/13/1993,II,Brown Pelican,1
10/13/1993,II,Cormorant,2
10/13/1993,II,Ruddy Turnstone,5
10/13/1993,II,Sanderling,2
10/13/1993,II,Unidentified Bird (non-gull),1
10/13/1993,II,Wandering Tattler,3
10/13/1993,II,Western Gull,12
10/13/1993,II,Whimbrel,2
10/14/1993,I,Snowy Egret,2
10/14/1993,I,Spotted Sandpiper,4
10/14/1993,I,Wandering Tattler,1
10/14/1993,II,Marbled Godwit,1
10/14/1993,II,Spotted Sandpiper,2
10/14/1993,II,Western Gull,23
10/14/1993,III,Great Blue Heron,1
10/14/1993,III,Spotted Sandpiper,1
10/14/1993,III,Wandering Tattler,1
10/14/1993,III,Western Gull,50
10/14/1993,III,Willet,1
10/15/1993,I,California Gull,6
10/15/1993,I,Spotted Sandpiper,1
10/15/1993,II,Wandering Tattler,1
10/15/1993,II,Western Gull,5
10/15/1993,II,Willet,1
10/15/1993,III,California Gull,15
10/15/1993,III,Great Blue Heron,1
10/15/1993,III,Heerman's Gull,5
10/15/1993,III,Sanderling,1
10/15/1993,III,Snowy Egret,2
10/15/1993,III,Wandering Tattler,1
10/15/1993,III,Western Gull,28
10/16/1993,I,Black-Bellied Plover,1
10/16/1993,I,Western Gull,2
10/16/1993,II,Black Turnstone,1
10/16/1993,II,Black-Bellied Plover,1
10/16/1993,II,Ruddy Turnstone,3
10/16/1993,II,Sanderling,8
10/16/1993,II,Wandering Tattler,4
10/16/1993,II,Western Gull,2
10/16/1993,II,Whimbrel,2
10/16/1993,III,Black Turnstone,1
10/16/1993,III,Great Blue Heron,1
10/16/1993,III,Western Gull,10
10/17/1993,II,Great Blue Heron,1
10/17/1993,II,Spotted Sandpiper,1
10/17/1993,II,Western Gull,5
10/17/1993,II,Whimbrel,1
10/17/1993,II,Willet,1
10/17/1993,III,Great Blue Heron,1
10/17/1993,III,Western Gull,3
10/27/1993,I,Common Raven,1
10/27/1993,I,Wandering Tattler,1
10/27/1993,I,Western Gull,1
10/27/1993,II,Black-Bellied Plover,2
10/27/1993,II,Brown Pelican,1
10/27/1993,II,Great Blue Heron,2
10/27/1993,II,Ruddy Turnstone,4
10/27/1993,II,Snowy Egret,6
10/27/1993,II,Wandering Tattler,3
10/27/1993,II,Western Gull,25
10/27/1993,III,Black-Bellied Plover,1
10/27/1993,III,Cormorant,1
10/27/1993,III,Wandering Tattler,1
10/27/1993,III,Western Gull,5
10/28/1993,I,Black-Bellied Plover,1
10/28/1993,I,Spotted Sandpiper,1
10/28/1993,I,Wandering Tattler,1
10/28/1993,II,Black-Bellied Plover,1
10/28/1993,II,Marbled Godwit,1
10/28/1993,II,Mew Gull,1
10/28/1993,II,Ruddy Turnstone,8
10/28/1993,II,Snowy Egret,4
10/28/1993,II,Spotted Sandpiper,1
10/28/1993,II,Wandering Tattler,1
10/28/1993,II,Western Gull,45
10/28/1993,II,Whimbrel,1
10/28/1993,II,Willet,2
10/28/1993,III,Black-Bellied Plover,3
10/28/1993,III,Snowy Egret,5
10/28/1993,III,Spotted Sandpiper,2
10/28/1993,III,Wandering Tattler,1
10/29/1993,I,Black-Bellied Plover,2
10/29/1993,I,Snowy Egret,1
10/29/1993,I,Wandering Tattler,4
10/29/1993,I,Western Gull,4
10/29/1993,II,Black Turnstone,4
10/29/1993,II,Black-Bellied Plover,3
10/29/1993,II,Brown Pelican,1
10/29/1993,II,Snowy Egret,4
10/29/1993,II,Wandering Tattler,9
